doc_id,doc_name,sector,category,law_ref,obligation,submit_to,frequency,tai_grade,tai_difficulty,existing_data,additional_input,priority,note
DOC-OSH-001,안전보건관리규정,공통,일상,산안법 제25조,법정필수,자체보관,상시,C,B,factory/법령엔진,사업장 특성별 세부규정,3,법령엔진으로 초안 가능
DOC-OSH-002,위험성평가서,공통,정기,산안법 제36조,법정필수,자체보관,연1회,C,B,factory/법령엔진/inspections,위험도등급 감소대책,2,핵심 수익 문서
DOC-OSH-003,산업재해조사표,공통,사고시,산안법 제57조,법정필수,고용노동부,사고시,D,C,factory/workers,재해 상세정보,4,관공서 제출
DOC-OSH-004,작업환경측정결과서,산업,정기,산안법 제125조,법정필수,고용노동부,반기,X,X,-,외부 측정기관,-,TAI 범위 밖
DOC-OSH-005,특수건강진단결과서,산업,정기,산안법 제129조,법정필수,자체보관,연1회,X,X,-,외부 검진기관,-,TAI 범위 밖
DOC-OSH-006,안전보건교육일지,공통,일상,산안법 제29조,법정필수,자체보관,정기/수시,A,S,workers/교육모듈,-,1,SaaS 기본
DOC-OSH-007,안전점검일지,공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections/factory,-,1,SaaS 기본
DOC-OSH-013,작업허가서(일반),공통,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory/workers,작업내용 위험요인,2,입력폼 추가
DOC-OSH-015,안전보건협의체회의록,건설,정기,산안법 제64조,법정필수,자체보관,월1회,B,A,factory/workers,안건 결정사항,2,입력폼 추가
DOC-OSH-017,점검표(체크리스트),공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections/법령엔진,-,1,SaaS 기본
DOC-OSH-045,보호구 지급대장,공통,일상,산안법 제41조,법정필수,자체보관,수시,B,A,workers,보호구 종류 수량,2,입력폼 추가
DOC-OSH-046,보호구 착용 점검기록,공통,일상,산안법 제41조,법정필수,자체보관,수시,A,S,inspections,-,1,점검모듈
DOC-OSH-056,TBM 기록,공통,일상,산안법 제38조,권고,자체보관,일/수시,A,S,TBM모듈,-,1,SaaS 기본
DOC-CON-006,공사일지,건설,일상,건설기술진흥법,법정필수,자체보관,일일,A,S,factory/inspections,-,1,SaaS 기본
DOC-CON-007,안전점검일지(건설),건설,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections,-,1,SaaS 기본
DOC-CON-013,장비점검기록부,건설,정기,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections,-,1,점검모듈
DOC-CON-032,타워크레인 점검기록부,건설,정기,산안법,법정필수,자체보관,정기,A,S,inspections,-,1,점검모듈
DOC-CON-036,용접작업 허가서,건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory/workers,작업장소 화기관리,2,작업허가서 유형
DOC-CON-037,밀폐공간 작업허가서(건설),건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,장소 가스농도,2,작업허가서 유형
DOC-CON-038,고소작업 계획서,건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,높이 작업방법,2,작업허가서 유형
DOC-SERA-001,안전보건관리체계 구축계획서,공통,일상,중대재해처벌법 제4조,법정필수,자체보관,상시,C,B,factory/법령엔진,체계 세부내용,2,핵심 문서
DOC-SERA-002,안전보건관리체계 점검기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,정기,B,A,inspections,점검결과 개선내용,2,점검데이터
DOC-SERA-003,유해위험요인 확인 개선기록,공통,정기,중대재해처벌법 제4조,법정필수,자체보관,수시,B,A,inspections/법령엔진,위험요인 개선조치,2,법령엔진 연계
DOC-SERA-012,경영책임자 의무이행 입증자료,공통,감독대응,중대재해처벌법 제4조,법정필수,수사기관,요청시,C,B,전체 데이터 종합,포트폴리오 형태,2,모든 기록 종합
DOC-BLD-002,소방시설 작동기능점검 기록,건물,정기,소방시설법 제25조,법정필수,자체보관,연1회,A,S,inspections,-,1,점검모듈
DOC-BLD-006,소방훈련 교육 기록부,건물,정기,소방시설법 제22조,법정필수,자체보관,연1회이상,B,A,workers,훈련내용 참석자,2,입력폼 추가
DOC-BLD-009,전기설비 점검기록부,건물,정기,전기안전관리법 제11조,법정필수,자체보관,월/분기,A,S,inspections,-,1,점검모듈
DOC-BLD-011,승강기 유지관리 점검기록부,건물,정기,승강기안전관리법 제17조,법정필수,자체보관,월,A,S,inspections,-,1,점검모듈
DOC-FAC-002,가스시설 정기점검 기록부,건물,정기,고압가스안전관리법 제17조,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-FAC-008,위험물 시설 점검기록부,건물,정기,위험물안전관리법 제18조,법정필수,자체보관,정기,A,S,inspections,-,2,점검모듈
DOC-FAC-013,보일러 운전일지,건물,일상,에너지이용합리화법,법정필수,자체보관,일일,A,S,inspections,-,2,점검모듈
