doc_id,doc_name,sector,category,law_ref,obligation,submit_to,frequency,tai_grade,tai_difficulty,existing_data,additional_input,priority,note
DOC-OSH-001,안전보건관리규정,공통,일상,산안법 제25조,법정필수,자체보관,상시,C,B,factory/법령엔진,사업장 특성별 세부규정,3,법령엔진으로 초안 가능
DOC-OSH-002,위험성평가서,공통,정기,산안법 제36조,법정필수,자체보관,연1회,C,B,factory/법령엔진/inspections,위험도등급 감소대책,2,핵심 수익 문서
DOC-OSH-003,산업재해조사표,공통,사고시,산안법 제57조,법정필수,고용노동부,사고시,D,C,factory/workers,재해 상세정보,4,관공서 제출
DOC-OSH-004,작업환경측정결과서,산업,정기,산안법 제125조,법정필수,고용노동부,반기,X,X,-,외부 측정기관,-,TAI 범위 밖
DOC-OSH-005,특수건강진단결과서,산업,정기,산안법 제129조,법정필수,자체보관,연1회,X,X,-,외부 검진기관,-,TAI 범위 밖
DOC-OSH-006,안전보건교육일지,공통,일상,산안법 제29조,법정필수,자체보관,정기/수시,A,S,workers/교육모듈,-,1,SaaS 기본
DOC-OSH-007,안전점검일지,공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections/factory,-,1,SaaS 기본
DOC-OSH-008,유해위험방지계획서,건설,착공전,산안법 제42조,법정필수,고용노동부,착공시,C,B,factory/법령엔진,공종별 위험요인,4,초안만 가능
DOC-OSH-009,안전관리자선임보고서,공통,일상,산안법 제17조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보 선임일,3,관공서 제출
DOC-OSH-010,보건관리자선임보고서,공통,일상,산안법 제18조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보 선임일,3,관공서 제출
DOC-OSH-011,산업보건의선임보고서,공통,일상,산안법 제19조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보 선임일,5,관공서 제출
DOC-OSH-012,MSDS,공통,일상,산안법 제110조,법정필수,사업장비치,상시,X,X,-,제조사 제공,-,TAI 범위 밖
DOC-OSH-013,작업허가서(일반),공통,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory/workers,작업내용 위험요인,2,입력폼 추가
DOC-OSH-014,밀폐공간작업계획서,산업,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,작업장소 유해가스,3,입력폼 추가
DOC-OSH-015,안전보건협의체회의록,건설,정기,산안법 제64조,법정필수,자체보관,월1회,B,A,factory/workers,안건 결정사항,2,입력폼 추가
DOC-OSH-016,도급안전보건조치기록,건설,일상,산안법 제63조,법정필수,자체보관,수시,B,A,factory,조치내용 확인자,3,입력폼 추가
DOC-OSH-017,점검표(체크리스트),공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections/법령엔진,-,1,SaaS 기본
DOC-OSH-018,사고보고서,공통,사고시,산안법 제54조,법정필수,고용노동부,즉시,C,A,factory/workers,사고상세 원인 조치,3,입력폼 가능
DOC-OSH-019,산업재해발생보고서,공통,사고시,산안법 제54조,법정필수,고용노동부,즉시,D,C,factory/workers,재해상세,4,관공서 제출
DOC-OSH-020,건강진단개인통보서,공통,정기,산안법 제129조,법정필수,근로자,연1회,X,X,-,검진기관,-,TAI 범위 밖
DOC-OSH-021,작업환경측정결과보고서,산업,정기,산안법 제125조,법정필수,고용노동부,반기,X,X,-,측정기관,-,TAI 범위 밖
DOC-OSH-022,밀폐공간작업프로그램기록,산업,일상,산안법 제38조,법정필수,자체보관,상시,B,A,factory,작업내용 측정결과,3,입력폼 추가
DOC-OSH-023,안전관리자 선임신고서,공통,일상,산안법 제17조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보,3,009와 통합가능
DOC-OSH-024,보건관리자 선임신고서,공통,일상,산안법 제18조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보,3,010과 통합가능
DOC-OSH-025,산업보건의 선임신고서,공통,일상,산안법 제19조,법정필수,고용노동부,수시,D,C,factory/workers,자격정보,5,011과 통합가능
DOC-OSH-026,안전관리자 변경신고서,공통,일상,산안법 제17조,법정필수,고용노동부,수시,D,C,factory/workers,변경사유 자격정보,3,선임과 동일폼
DOC-OSH-027,보건관리자 변경신고서,공통,일상,산안법 제18조,법정필수,고용노동부,수시,D,C,factory/workers,변경사유 자격정보,3,선임과 동일폼
DOC-OSH-028,산업보건의 변경신고서,공통,일상,산안법 제19조,법정필수,고용노동부,수시,D,C,factory/workers,변경사유 자격정보,5,선임과 동일폼
DOC-OSH-029,안전관리자 해임신고서,공통,일상,산안법 제17조,법정필수,고용노동부,수시,D,C,factory/workers,해임사유,3,선임과 동일폼
DOC-OSH-030,보건관리자 해임신고서,공통,일상,산안법 제18조,법정필수,고용노동부,수시,D,C,factory/workers,해임사유,3,선임과 동일폼
DOC-OSH-031,산업보건의 해임신고서,공통,일상,산안법 제19조,법정필수,고용노동부,수시,D,C,factory/workers,해임사유,5,선임과 동일폼
DOC-OSH-032,산업재해조사표 제출서,공통,사고시,산안법 제57조,법정필수,고용노동부,1개월이내,D,C,factory/workers,재해상세,4,003과 연계
DOC-OSH-033,유해위험방지계획서 제출서,건설,착공전,산안법 제42조,법정필수,고용노동부,착공전,D,C,factory/법령엔진,공종별 상세,4,008과 연계
DOC-OSH-034,작업환경측정 결과보고서 제출서,산업,정기,산안법 제125조,법정필수,고용노동부,측정후,X,X,-,측정기관,-,TAI 범위 밖
DOC-OSH-035,특수건강진단 결과보고서 제출서,산업,정기,산안법 제129조,법정필수,고용노동부,검진후,X,X,-,검진기관,-,TAI 범위 밖
DOC-OSH-036,건강진단 결과 통보서,공통,정기,산안법 제129조,법정필수,근로자,연1회,X,X,-,검진기관,-,TAI 범위 밖
DOC-OSH-037,안전보건교육 실시기록부,공통,일상,산안법 제29조,법정필수,자체보관,정기/수시,A,S,workers/교육모듈,-,1,006과 동일
DOC-OSH-038,안전점검 기록부,공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections,-,1,007과 동일
DOC-OSH-039,밀폐공간 작업기록부,산업,일상,산안법 제38조,법정필수,자체보관,수시,B,A,factory,작업내용 측정결과,3,022와 동일
DOC-OSH-040,도급사업 안전보건조치 이행기록,건설,일상,산안법 제63조,법정필수,자체보관,수시,B,A,factory,조치내용,3,016과 동일
DOC-OSH-041,위험성평가 실시결과서,공통,정기,산안법 제36조,법정필수,자체보관,연1회,C,B,factory/법령엔진/inspections,위험도 감소대책,2,002와 연계
DOC-OSH-042,위험성평가 개선조치계획서,공통,정기,산안법 제36조,법정필수,자체보관,수시,B,A,inspections,개선내용 일정 담당자,2,위험성평가 후속
DOC-OSH-043,화학물질 관리대장,산업,일상,산안법 제110조,법정필수,자체보관,상시,B,A,factory,화학물질 목록 수량,3,입력폼 추가
DOC-OSH-044,물질안전보건자료 교육기록,공통,일상,산안법 제110조,법정필수,자체보관,수시,B,A,workers,교육내용 참석자,2,교육모듈 연계
DOC-OSH-045,보호구 지급대장,공통,일상,산안법 제41조,법정필수,자체보관,수시,B,A,workers,보호구 종류 수량,2,입력폼 추가
DOC-OSH-046,보호구 착용 점검기록,공통,일상,산안법 제41조,법정필수,자체보관,수시,A,S,inspections,-,1,점검모듈
DOC-OSH-047,밀폐공간 작업허가서,산업,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,작업장소 가스농도,3,013과 유사
DOC-OSH-048,밀폐공간 산소농도 측정기록,산업,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,측정값 측정자 시간,3,입력폼 추가
DOC-OSH-049,작업허가서(위험작업),공통,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory/workers,작업내용 위험요인,2,013과 동일폼
DOC-OSH-050,안전작업절차서(SOP),공통,일상,산안법 제38조,권고,자체보관,상시,C,B,법령엔진,작업별 세부절차,4,AI 초안 가능
DOC-OSH-051,비상조치계획서,공통,일상,산안법 제38조,법정필수,자체보관,상시,C,B,factory/법령엔진,비상연락망 대피경로,3,법령엔진 연계
DOC-OSH-052,비상훈련 실시기록,공통,정기,산안법 제38조,법정필수,자체보관,연1회,B,A,factory/workers,훈련내용 참석자,3,입력폼 추가
DOC-OSH-053,중대재해 발생 대응기록,공통,사고시,중대재해처벌법,법정필수,고용노동부,사고시,C,A,factory/workers,대응상세 시간순,3,사고 입력폼
DOC-OSH-054,협력업체 안전관리평가서,건설,정기,산안법 제63조,권고,자체보관,분기/반기,B,A,factory,평가항목 점수,4,입력폼 추가
DOC-OSH-055,안전보건점검 체크리스트,공통,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections/법령엔진,-,1,017과 동일
DOC-OSH-056,TBM 기록,공통,일상,산안법 제38조,권고,자체보관,일/수시,A,S,TBM모듈,-,1,SaaS 기본
DOC-OSH-057,근로자 의견청취 기록,공통,일상,산안법 제26조,권고,자체보관,수시,B,A,workers,의견내용 조치결과,3,입력폼 추가
DOC-OSH-058,산업안전보건위원회 회의록,공통,정기,산안법 제24조,법정필수,자체보관,분기,B,A,factory/workers,안건 결정사항,3,015와 유사
DOC-OSH-059,기계설비 점검기록부,산업,정기,산안법 제38조,법정필수,자체보관,정기,A,S,inspections,-,1,점검모듈
DOC-OSH-060,전기설비 점검기록부,건물,정기,전기안전관리법,법정필수,자체보관,월/분기,A,S,inspections,-,1,점검모듈
DOC-CON-001,안전관리계획서,건설,착공전,건설기술진흥법 제62조,법정필수,발주처/감리,착공시,C,B,factory/법령엔진,공종별 안전대책,4,초안만 가능
DOC-CON-002,안전관리계획서 승인서,건설,착공전,건설기술진흥법,법정필수,발주처,1회,X,X,-,감리 영역,-,TAI 범위 밖
DOC-CON-003,품질관리계획서,건설,착공전,건설기술진흥법 제55조,법정필수,발주처,착공시,X,X,-,시공사 전문,-,TAI 범위 밖
DOC-CON-004,시공계획서,건설,착공전,건설기술진흥법,법정필수,감리,수시,X,X,-,시공사 전문,-,TAI 범위 밖
DOC-CON-005,착공신고서,건설,착공전,건설산업기본법,법정필수,지자체,1회,D,C,factory,공사 상세정보,5,관공서 제출
DOC-CON-006,공사일지,건설,일상,건설기술진흥법,법정필수,자체보관,일일,A,S,factory/inspections,-,1,SaaS 기본
DOC-CON-007,안전점검일지(건설),건설,일상,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections,-,1,SaaS 기본
DOC-CON-008,작업계획서(고위험작업),건설,작업시,산안법 제42조,법정필수,자체보관/감리,수시,B,A,factory,작업내용 위험요인,2,입력폼 추가
DOC-CON-009,유해위험방지계획서(건설),건설,착공전,산안법 제42조,법정필수,고용노동부,착공시,C,B,factory/법령엔진,공종별 위험요인,4,OSH-008과 동일
DOC-CON-010,도급사업 안전보건조치계획,건설,일상,산안법 제63조,법정필수,자체보관,수시,B,A,factory,조치내용,3,OSH-016과 동일
DOC-CON-011,안전보건협의체 회의록(건설),건설,정기,산안법 제64조,법정필수,자체보관,월1회,B,A,factory/workers,안건 결정사항,2,OSH-015와 동일
DOC-CON-012,TBM 기록(건설),건설,일상,산안법,권고,자체보관,일일,A,S,TBM모듈,-,1,OSH-056과 동일
DOC-CON-013,장비점검기록부,건설,정기,산안법 제38조,법정필수,자체보관,일/주,A,S,inspections,-,1,점검모듈
DOC-CON-014,비계 점검기록,건설,정기,산안법 제38조,법정필수,자체보관,수시,A,S,inspections,-,1,점검모듈
DOC-CON-015,굴착작업 안전계획서,건설,작업시,산안법,법정필수,자체보관,수시,B,A,factory,작업상세 위험요인,3,입력폼 추가
DOC-CON-016,콘크리트 타설계획서,건설,작업시,건설기술지침,권고,감리,수시,X,X,-,시공사 전문,-,TAI 범위 밖
DOC-CON-017,감리보고서,건설,정기,건설기술진흥법,법정필수,발주처,정기,X,X,-,감리 영역,-,TAI 범위 밖
DOC-CON-018,품질시험성적서,건설,정기,건설기술진흥법,법정필수,발주처,수시,X,X,-,시험기관,-,TAI 범위 밖
DOC-CON-019,하도급관리대장,건설,일상,건설산업기본법,법정필수,발주처,수시,B,A,factory,하도급업체 정보,3,입력폼 추가
DOC-CON-020,준공검사신청서,건설,종료,건설기술진흥법,법정필수,발주처,1회,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-021,준공도서,건설,종료,건설기술진흥법,법정필수,발주처,1회,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-022,유지관리지침서,건설,종료,건설기술진흥법,법정필수,발주처,1회,X,X,-,시공사 영역,-,TAI 범위 밖
DOC-CON-023,굴착공사 작업계획서,건설,작업시,산안법 제38조,법정필수,감리/자체,수시,B,A,factory,작업상세,3,015와 유사
DOC-CON-024,흙막이공 안전계획서,건설,작업시,산안법,법정필수,감리,수시,B,A,factory,구조검토 시공방법,3,입력폼 추가
DOC-CON-025,비계 설치계획서,건설,작업시,산안법 제38조,법정필수,감리/자체,수시,B,A,factory,비계 종류 규격,3,입력폼 추가
DOC-CON-026,비계 점검기록부,건설,정기,산안법 제38조,법정필수,자체보관,수시,A,S,inspections,-,1,014와 동일
DOC-CON-027,거푸집 설치계획서,건설,작업시,산안법,법정필수,감리,수시,B,A,factory,규격 시공방법,3,입력폼 추가
DOC-CON-028,동바리 안전계획서,건설,작업시,산안법,법정필수,감리,수시,B,A,factory,구조검토 시공방법,3,입력폼 추가
DOC-CON-029,철근 작업계획서,건설,작업시,산안법,권고,자체보관,수시,B,A,factory,작업내용,4,입력폼 추가
DOC-CON-030,콘크리트 타설계획서(중복),건설,작업시,건설기술지침,권고,감리,수시,X,X,-,시공사 영역,-,016과 중복
DOC-CON-031,타워크레인 설치계획서,건설,착공전,산안법 제38조,법정필수,고용노동부/감리,수시,B,A,factory,크레인 제원,3,입력폼 추가
DOC-CON-032,타워크레인 점검기록부,건설,정기,산안법,법정필수,자체보관,정기,A,S,inspections,-,1,점검모듈
DOC-CON-033,양중작업계획서,건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,인양물 중량,3,입력폼 추가
DOC-CON-034,해체공사 계획서,건설,착공전,산안법 제52조,법정필수,고용노동부,1회,C,B,factory,해체공법 안전대책,4,전문 영역
DOC-CON-035,해체공사 안전관리계획서,건설,착공전,산안법,법정필수,감리,1회,C,B,factory,해체공법 안전대책,4,034와 연계
DOC-CON-036,용접작업 허가서,건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory/workers,작업장소 화기관리,2,작업허가서 유형
DOC-CON-037,밀폐공간 작업허가서(건설),건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,장소 가스농도,2,작업허가서 유형
DOC-CON-038,고소작업 계획서,건설,작업시,산안법 제38조,법정필수,자체보관,수시,B,A,factory,높이 작업방법,2,작업허가서 유형
DOC-CON-039,전기작업 계획서,건설,작업시,전기안전관리법,법정필수,자체보관,수시,B,A,factory,작업내용 전압,3,입력폼 추가
